lake,method,horizon_months,rmse,mae,nse,n_origins,min_exog_lag,requires_foresight
Okanagan_Lake,SARIMAX_CCM_direct,12,0.10598762701602285,0.08938052173550942,-1.9957817036893868,26,1.0,True
Okanagan_Lake,XGBoost_CCM_direct,1,0.07965515455860257,0.05123629033251642,0.10147681765970018,37,1.0,False
Okanagan_Lake,XGBoost_CCM_direct,3,0.09620826838663575,0.0717070118799028,-0.46663776518926525,35,1.0,True
Okanagan_Lake,XGBoost_CCM_direct,6,0.12092486192020904,0.09361564721883683,-1.2784136056911728,32,1.0,True
Okanagan_Lake,XGBoost_CCM_direct,12,0.08718805646760694,0.07441982894210468,-1.0272803934483532,26,1.0,True
Okanagan_Lake,SARIMAX_CCM_ancestors,1,0.0757777672359645,0.049872907076347846,0.18682292432756198,37,1.0,False
Okanagan_Lake,SARIMAX_CCM_ancestors,3,0.09763077974344925,0.07756942647470862,-0.5103290763995139,35,1.0,True
Okanagan_Lake,SARIMAX_CCM_ancestors,6,0.10731968755273509,0.08663605086640408,-0.7945690122427127,32,1.0,True
Okanagan_Lake,SARIMAX_CCM_ancestors,12,0.10622422282465402,0.08901010219679065,-2.009171578124474,26,1.0,True
Okanagan_Lake,XGBoost_CCM_ancestors,1,0.0784824923102304,0.05397954542655533,0.12773772537373218,37,1.0,False
Okanagan_Lake,XGBoost_CCM_ancestors,3,0.10040665487080452,0.08052698179910509,-0.5974345176168101,35,1.0,True
Okanagan_Lake,XGBoost_CCM_ancestors,6,0.11564323359065873,0.09591984317501212,-1.0837317957755856,32,1.0,True
Okanagan_Lake,XGBoost_CCM_ancestors,12,0.07938276075160772,0.06816932960763179,-0.6805530399782598,26,1.0,True
Okanagan_Lake,SARIMAX_Stepwise,1,0.06862110243477648,0.04401012794910131,0.3331672835784749,37,1.0,False
Okanagan_Lake,SARIMAX_Stepwise,3,0.08548414538530824,0.07002277147914028,-0.1578951001274047,35,1.0,True
Okanagan_Lake,SARIMAX_Stepwise,6,0.08923876347961096,0.07234698466375389,-0.24081905131144077,32,1.0,True
Okanagan_Lake,SARIMAX_Stepwise,12,0.07126467165424831,0.05895109045276508,-0.3544045485111913,26,1.0,True
Okanagan_Lake,XGBoost_Stepwise,1,0.07634174110989848,0.046822003149413496,0.17467378769792385,37,1.0,False
Okanagan_Lake,XGBoost_Stepwise,3,0.07973237121759937,0.05705126543394934,-0.00731993263912778,35,1.0,True
Okanagan_Lake,XGBoost_Stepwise,6,0.08388179682578044,0.061296439541773794,-0.09631868199523597,32,1.0,True
Okanagan_Lake,XGBoost_Stepwise,12,0.08587610772449344,0.05360917064061748,-0.9667290415724954,26,1.0,True
Okanagan_Lake,XGBoost_CCM_neighbor,1,0.07224502051296837,0.054610653755007815,0.06101771814245116,25,1.0,False
Okanagan_Lake,XGBoost_CCM_neighbor,3,0.0865811902794502,0.07454856056710986,-0.673973028265882,19,1.0,True
