cause,effect,status,obs_lag,obs_rho,obs_n,p_value,null_mean,null_std,n_valid_surrogates,convergence_diagnostic_pass,kendall_tau,kendall_p,completed_at,cause_lake,effect_lake,p_fdr,statistically_significant,lag_resolution,causal_evidence,waterway_connected
Skaha_Lake,Sipiwesk_Lake,OK,-7,0.24671,225,0.6786427145708582,0.27169662,0.05822887905134015,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:16:05,Skaha_Lake,Sipiwesk_Lake,0.7932187572906135,False,not_significant,False,False
Skaha_Lake,Split_Lake,OK,11,0.12935,288,0.9840319361277445,0.21326432,0.048547044533499666,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:10:57,Skaha_Lake,Split_Lake,0.9840319361277445,False,not_significant,False,False
Skaha_Lake,Vaseux_Lake,OK,4,0.41263,321,0.001996007984031936,0.22810917999999997,0.057481649053655375,500,True,1.0,5.5114638447971785e-06,2026-08-27T11:55:32,Skaha_Lake,Vaseux_Lake,0.009454774661203907,True,resolved,True,True
Split_Lake,Kalamalka_Lake,OK,2,0.55303,303,0.001996007984031936,0.3241381,0.06992322148893027,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:26:57,Split_Lake,Kalamalka_Lake,0.009454774661203907,True,resolved,True,False
Split_Lake,Kiskitto_Lake,OK,-1,0.45634,265,0.013972055888223553,0.28900274000000004,0.07336377382259177,500,False,-0.7222222222222222,0.0058862433862433864,2026-08-27T12:05:53,Split_Lake,Kiskitto_Lake,0.04491017964071856,False,not_significant,False,False
Split_Lake,Lake_of_the_Woods,OK,2,0.3278,316,0.2275449101796407,0.26914496,0.07680185940586595,500,True,0.7222222222222222,0.0058862433862433864,2026-08-27T12:05:36,Split_Lake,Lake_of_the_Woods,0.3592814371257485,False,not_significant,False,False
Split_Lake,Okanagan_Lake,OK,1,0.32903,317,0.07385229540918163,0.22620498,0.06735303619436617,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T11:56:48,Split_Lake,Okanagan_Lake,0.15457457178665923,False,not_significant,False,False
Split_Lake,Playgreen_Lake,OK,0,0.68541,282,0.001996007984031936,0.25156258000000004,0.08166657642110144,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T11:59:26,Split_Lake,Playgreen_Lake,0.009454774661203907,True,unresolved_contemporaneous,True,False
Split_Lake,Rainy_Lake,OK,-2,0.33885,314,0.11776447105788423,0.24003574000000003,0.07985162719977847,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T12:11:32,Split_Lake,Rainy_Lake,0.2119760479041916,False,not_significant,False,False
Split_Lake,Sipiwesk_Lake,OK,1,0.94265,225,0.001996007984031936,0.37816568,0.09949890122678541,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T11:57:57,Split_Lake,Sipiwesk_Lake,0.009454774661203907,True,resolved,True,True
Split_Lake,Skaha_Lake,OK,-2,0.09624,294,0.874251497005988,0.18119601999999999,0.08107946666548566,500,False,0.3888888888888889,0.18018077601410934,2026-08-27T11:54:43,Split_Lake,Skaha_Lake,0.9149143573318479,False,not_significant,False,False
Split_Lake,Vaseux_Lake,OK,-12,0.30281,299,0.6766467065868264,0.34371979999999996,0.07674452020802527,500,True,0.7777777777777778,0.0024250440917107582,2026-08-27T12:05:50,Split_Lake,Vaseux_Lake,0.7932187572906135,False,not_significant,False,False
Vaseux_Lake,Kalamalka_Lake,OK,1,0.48647,319,0.001996007984031936,0.25785871999999993,0.0566675051150269,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T11:56:38,Vaseux_Lake,Kalamalka_Lake,0.009454774661203907,True,resolved,True,False
Vaseux_Lake,Kiskitto_Lake,OK,6,0.32224,278,0.03792415169660679,0.21840258,0.05220808391373505,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:12:28,Vaseux_Lake,Kiskitto_Lake,0.08751727314601566,False,not_significant,False,False
Vaseux_Lake,Lake_of_the_Woods,OK,-10,0.14934,323,0.8562874251497006,0.20516552,0.052834249765938764,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T12:20:32,Vaseux_Lake,Lake_of_the_Woods,0.9129975343430786,False,not_significant,False,False
Vaseux_Lake,Okanagan_Lake,OK,2,0.3272,333,0.01996007984031936,0.21062892,0.04808514339412538,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T12:01:16,Vaseux_Lake,Okanagan_Lake,0.05443658138268917,False,not_significant,False,False
Vaseux_Lake,Playgreen_Lake,OK,5,0.1504,290,0.8542914171656687,0.20268248,0.05105815221734527,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:13:47,Vaseux_Lake,Playgreen_Lake,0.9129975343430786,False,not_significant,False,False
Vaseux_Lake,Rainy_Lake,OK,-10,0.1509,323,0.7065868263473054,0.18298466000000002,0.05306962925520019,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T12:01:09,Vaseux_Lake,Rainy_Lake,0.804972333813386,False,not_significant,False,False
Vaseux_Lake,Sipiwesk_Lake,OK,12,0.2183,231,0.8622754491017964,0.28700528,0.06129975040178875,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:07:44,Vaseux_Lake,Sipiwesk_Lake,0.9129975343430786,False,not_significant,False,False
Vaseux_Lake,Skaha_Lake,OK,0,0.232,313,0.12375249500998003,0.16676556,0.05482655012570461,500,False,-0.8333333333333334,0.0008542768959435626,2026-08-27T12:03:41,Vaseux_Lake,Skaha_Lake,0.21418701059419623,False,not_significant,False,True
Vaseux_Lake,Split_Lake,OK,11,0.18338,295,0.8303393213572854,0.23374868,0.055854868355923994,500,True,1.0,5.5114638447971785e-06,2026-08-27T11:54:50,Vaseux_Lake,Split_Lake,0.9129975343430786,False,not_significant,False,False
