lake,method_1,method_2,horizon_months,dm_stat,p_value,n,p_fdr
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_all_vars,3,1.4124850053375542,0.157807202722565,30,0.4865722083945754
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_all_vars,6,1.2504264971864325,0.21114379021880847,27,0.5493037667411189
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_all_vars,12,-0.056761948473464115,0.954734825762011,21,1.0
Lake_of_the_Woods,XGBoost_CCM_direct,XGBoost_AR_only,1,0.5318992440958583,0.5947957808642372,32,0.8077253075475525
Lake_of_the_Woods,XGBoost_CCM_direct,XGBoost_AR_only,3,-0.8684410627101479,0.3851529237222189,30,0.6853738806886186
Lake_of_the_Woods,XGBoost_CCM_direct,XGBoost_AR_only,6,-0.7635156672709872,0.4451559222952224,27,0.7177480273464315
Lake_of_the_Woods,XGBoost_CCM_direct,XGBoost_AR_only,12,0.06530511061308422,0.9479310733520177,21,1.0
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,1,-0.4351975897827379,0.6634190119049124,37,0.8496866575551378
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,3,0.588478317346133,0.556211283425468,35,0.7915314417977813
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,6,-0.33668928692449673,0.7363511401395391,32,0.8966156605758645
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,12,-1.0371232556288226,0.29967841831844444,26,0.6316007170888733
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,1,1.3617511456605338,0.17327643421265115,37,0.49317138968216095
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,3,0.4631228954070064,0.643276279718235,35,0.8441820163334919
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,6,0.14318698714670589,0.8861425066745894,32,0.9974600411277933
Okanagan_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,12,0.4469806103809745,0.6548890597396784,26,0.8441820163334919
Okanagan_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,1,0.3572685203676088,0.7208907940635703,25,0.8921787860341941
Okanagan_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,3,-0.017113634268338666,0.9863459619324151,19,1.0
Okanagan_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,6,-1.2367913335840035,0.21616456032221043,10,0.5517521778315678
Okanagan_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,1,0.29243435786654143,0.7699545419551845,37,0.9189780016884461
