cause,effect,status,obs_lag,obs_rho,obs_n,p_value,null_mean,null_std,n_valid_surrogates,convergence_diagnostic_pass,kendall_tau,kendall_p,completed_at,lake,p_fdr,statistically_significant,lag_resolution,causal_evidence
RegFlow,Evap,OK,-1,0.14695,328,0.3333333333333333,0.11759968,0.06943500649886626,500,False,-0.2222222222222222,0.47670855379188715,2026-08-27T08:27:03,Kiskitto_Lake,0.39999999999999997,False,not_significant,False
RegFlow,P,OK,-12,0.12965,320,0.6087824351297405,0.1445193,0.050437430978490565,500,True,1.0,5.5114638447971785e-06,2026-08-27T09:09:52,Kiskitto_Lake,0.6344630837580422,False,not_significant,False
RegFlow,R,OK,6,0.4063,328,0.3532934131736527,0.38061915999999996,0.06288304349261731,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:42:48,Kiskitto_Lake,0.415639309616062,False,not_significant,False
RegFlow,SWE,OK,1,0.20932,329,0.0718562874251497,0.11621848,0.06319383780472271,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T08:36:00,Kiskitto_Lake,0.11095456146530468,False,not_significant,False
RegFlow,T,OK,-11,0.22596,316,0.10179640718562874,0.14664746,0.0651109581541264,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:30:07,Kiskitto_Lake,0.1479394152870729,False,not_significant,False
RegFlow,WL,OK,8,0.34553,275,0.1317365269461078,0.27134836,0.06385372742847828,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T08:25:03,Kiskitto_Lake,0.18320973946147442,False,not_significant,False
SWE,Evap,OK,0,0.34705,330,0.001996007984031936,0.1557276,0.05689006503283328,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:37:52,Kiskitto_Lake,0.004960493214753924,True,unresolved_contemporaneous,True
SWE,P,OK,-12,0.313,321,0.003992015968063872,0.14710446000000002,0.04803070790138742,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:33:25,Kiskitto_Lake,0.00877825500830799,True,rejected_reverse,False
SWE,R,OK,8,0.38769,327,0.1936127744510978,0.34099616000000005,0.05670038720197949,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:36:30,Kiskitto_Lake,0.25332512545003455,False,not_significant,False
SWE,RegFlow,OK,-10,0.2159,320,0.22954091816367264,0.17574036,0.05249993157586398,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T08:22:58,Kiskitto_Lake,0.2948231976414144,False,not_significant,False
SWE,T,OK,2,0.33191,328,0.007984031936127744,0.15955180000000002,0.06074816329371613,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:46:31,Kiskitto_Lake,0.016766467065868262,True,resolved,True
SWE,WL,OK,-8,0.21312,275,0.6487025948103793,0.23842692,0.05933724526900116,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:34:18,Kiskitto_Lake,0.6694228251114479,False,not_significant,False
T,Evap,OK,4,0.34466,330,0.001996007984031936,0.13260952,0.0413823205411393,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T08:18:43,Kiskitto_Lake,0.004960493214753924,True,resolved,True
T,P,OK,1,0.18125,333,0.08582834331337326,0.1306967,0.03667908476652601,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:31:55,Kiskitto_Lake,0.1287425149700599,False,not_significant,False
T,R,OK,12,0.20629,323,0.2694610778443114,0.18017422,0.04219237461901854,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:13:46,Kiskitto_Lake,0.3388432715407509,False,not_significant,False
T,RegFlow,OK,-7,0.15126,323,0.39520958083832336,0.14173918,0.03665012577232989,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T08:19:12,Kiskitto_Lake,0.4474070726471585,False,not_significant,False
T,SWE,OK,2,0.31693,330,0.001996007984031936,0.11801092,0.04139863465808504,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:30:40,Kiskitto_Lake,0.004960493214753924,True,resolved,True
T,WL,OK,-11,0.2025,272,0.23353293413173654,0.17015402,0.044348150329406075,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:25:25,Kiskitto_Lake,0.29903607419307726,False,not_significant,False
WL,Evap,OK,12,0.03568,286,0.9520958083832335,0.1620014,0.08013218373936905,500,False,-0.9444444444444445,4.96031746031746e-05,2026-08-27T08:25:38,Kiskitto_Lake,0.9566512907199953,False,not_significant,False
WL,P,OK,-1,0.24245,295,0.08183632734530938,0.1630558,0.05480581611435049,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T08:11:51,Kiskitto_Lake,0.12453354161242731,False,not_significant,False
WL,R,OK,7,0.65327,291,0.001996007984031936,0.41874278,0.07112236424129613,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:31:21,Kiskitto_Lake,0.004960493214753924,True,resolved,True
WL,RegFlow,OK,1,0.45131,293,0.007984031936127744,0.22021488,0.08564991155036647,500,False,0.1111111111111111,0.761414241622575,2026-08-27T09:03:42,Kiskitto_Lake,0.016766467065868262,False,not_significant,False
WL,SWE,OK,-3,0.17479,290,0.47305389221556887,0.17457336,0.09344708926184057,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:11:17,Kiskitto_Lake,0.5147218516335206,False,not_significant,False
WL,T,OK,10,0.15767,288,0.7624750499001997,0.22035739999999998,0.08502672347938617,500,False,0.3888888888888889,0.18018077601410934,2026-08-27T08:25:23,Kiskitto_Lake,0.7772803906749608,False,not_significant,False
Evap,P,OK,-3,0.17002,323,0.08383233532934131,0.10489542,0.04848987086829166,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T07:58:28,Lake_of_the_Woods,0.12711040013835145,False,not_significant,False
Evap,R,OK,3,0.22503,332,0.06387225548902195,0.1537316,0.03972202710134517,500,False,0.5,0.07517636684303351,2026-08-27T07:54:06,Lake_of_the_Woods,0.1016149519143531,False,not_significant,False
Evap,RegFlow,OK,-1,0.23765,327,0.01996007984031936,0.14993466,0.040611599871027,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T08:07:12,Lake_of_the_Woods,0.03810560696788241,True,rejected_reverse,False
Evap,SWE,OK,-4,0.28177,327,0.001996007984031936,0.11987724,0.0449245074495247,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T07:53:38,Lake_of_the_Woods,0.004960493214753924,True,rejected_reverse,False
Evap,T,OK,0,0.50654,328,0.001996007984031936,0.13080392000000002,0.04605771688906866,500,True,1.0,5.5114638447971785e-06,2026-08-27T08:01:49,Lake_of_the_Woods,0.004960493214753924,True,unresolved_contemporaneous,True
Evap,WL,OK,3,0.2775,332,0.003992015968063872,0.14945318,0.03713821599495054,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T07:54:53,Lake_of_the_Woods,0.00877825500830799,True,resolved,True
P,Evap,OK,4,0.10746,329,0.4491017964071856,0.10283266,0.038731690956171794,500,False,0.3333333333333333,0.25951829805996474,2026-08-27T07:47:36,Lake_of_the_Woods,0.495072846433118,False,not_significant,False
